,text,likey,retweet
0,1557466581596192768,"RT @turbansbilll: 지민아 사랑해 오늘도 우리 지민이 덕분에 치열하고 또 행복했어💛 울님들 짐나잇이요~

#WithYou by #JIMIN #BTSJIMIN of #BTS    (@BTS_twt) and Sungwoon",2022-08-10 20:39:04
1,1557466566559612929,@yeonhui98121950 💛 안녕하세요! 새벽시간에 푸슝이 자주 터지는 것 같아요💦 아마 오전이되면 복구 될 것 같아요! 정상적으로 열리면 질문 남겨주세요｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡!!,2022-08-10 20:39:00
2,1557466547773636608,"RT @sunshine_mh0809: &lt;용산 차품집&gt;
청랑단에겐 아주 파라다이스 같았던 푸릇푸릇한 공간! 옵티황 감성이 한껏 묻어나던 카페 공간 덕분에 마스크 뚫고 광대가 솟아오르는거 간신히 참았습니다 다만 럭드가 두 시부터인 것도 모르고 럭드광인은…",2022-08-10 20:38:55
3,1557466545571467267,"RT @koboli03: 원신축제에서 판매되었던 투명공방님 하바리움
일러스트 지원드렸던 벤티그림이에요~! &gt;_&lt;

#venti https://t.co/6bzMf7p8iz",2022-08-10 20:38:55
4,1557466499517800448,"RT @XIYUN_SAYUN: 첫 팬아트이고 이렇게 인원 많이는 처음 그려서 조금 부족할수도 있습니다!언제나 재밌는 영상 감사드립니다!! 헤헤헤
#플동부 https://t.co/CjzSVSSr88",2022-08-10 20:38:44
5,1557466478915588096,"RT @sobok_95: 또 보시면
ㅅ ㅏㅁ ㅅㅓㅇ 인별
좋아요♡  댓글 주심 정말 정말 감사드립니다 ~~~~~~~~~❤️
PJM1 IS COMING
PROUD OF YOU JIMIN
Loving #WithYou by #JIMIN #BTSJIMIN…",2022-08-10 20:38:39
6,1557466445553864704,"RT @forever_TH_moa: #휴닝이생일 #이벵 #rt 
팔로우도 해주면 🫶
휴닝이의 반짝반짝 아름다운 생일을 위한 이벵
당발은 당연히 휴닝이 생일💖

휴닝이의 생일을 타팬에게도 알리기 위해 
모아만 참여🙅‍♀️타팬도 참여🙆‍♀️ https:…",2022-08-10 20:38:31
7,1557466426398883841,"비잔티움 제국에게는 다행스럽게도, 니케포로스 포카스의 뒤를 이은 요안네스 치미스케스는 탁월한 무장인 동시에 뛰어난 정치가였다. 그는 불가리아를 격파하고 신성로마제국에게 황녀 테오파노를 시집보내 서방과의 갈등을 최소화하려 노력했다.",2022-08-10 20:38:27
8,1557466408790814720,오빠 덕분에 다양한걸 접해보는 것 같아요.,2022-08-10 20:38:22
9,1557466397692887042,: 잘 견뎌내줘서 고맙다. 네 덕분이다.,2022-08-10 20:38:20
10,1557466392915574785,간단히 설명해드려요? 저쪽이 생각없이 무전치셔서~ 좀비한테 당했습니다? 덕분에 두명이나! 참! 감사하네요 예?,2022-08-10 20:38:19
11,1557466382547156994,"RT @ATEEZofficial: [📢] ATINY는 우영이를 생각하면 
어떤 사물이 떠오르나요?👀

아래 링크 접속 후, 설문에 참여해주세요!
🔗  https://t.co/axCdhlUd5g 

사연 채택 시 우영의 폴라로이드 사진을 선물로 드립니…",2022-08-10 20:38:16
12,1557466361894318081,"RT @virtual_witness: 진짜 살다살다 '재난 상황을 어떻게 복구하고 다음 재난을 어떻게 대비할지'에 대한 뉴스가 아니라 ""재난 상황 대처하느라 대통령이 10시 넘어 퇴근했다""는 뉴스까지 봐야하는 2022년 8월이라니....

https…",2022-08-10 20:38:11
13,1557466295964147713,"동두천먹자골목
자지
개척교회
신상입고
교회꽃장식
공원
부산할리데이비슨
지금우리학교는
국내여행
챔피온스포츠
양산무용학원
주짓수하는여자
36개월아기
다올리고싶지만
거울샷
창경궁스냅
프리지아
망원동빵맛집
운암동안… https://t.co/Ue5aU1vG9w",2022-08-10 20:37:55
14,1557466278087909376,하면 웃을 거 같음. 그래요? 다행이네. 다른 땐 안 멋있어요? 하고 장난도 치고... 크게 분위기가 달라질 거 같지는 않음. 그냥 지나가는 해프닝 정도고 마음 먹었던 일이라ㅜ 그냥 손 꼭잡고 밥 먹고 집에 가서 뭐할지나 이야기 하겠지,2022-08-10 20:37:51
15,1557466581596192768,"RT @turbansbilll: 지민아 사랑해 오늘도 우리 지민이 덕분에 치열하고 또 행복했어💛 울님들 짐나잇이요~

#WithYou by #JIMIN #BTSJIMIN of #BTS    (@BTS_twt) and Sungwoon",2022-08-10 20:39:04
16,1557466566559612929,@yeonhui98121950 💛 안녕하세요! 새벽시간에 푸슝이 자주 터지는 것 같아요💦 아마 오전이되면 복구 될 것 같아요! 정상적으로 열리면 질문 남겨주세요｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡!!,2022-08-10 20:39:00
17,1557466547773636608,"RT @sunshine_mh0809: &lt;용산 차품집&gt;
청랑단에겐 아주 파라다이스 같았던 푸릇푸릇한 공간! 옵티황 감성이 한껏 묻어나던 카페 공간 덕분에 마스크 뚫고 광대가 솟아오르는거 간신히 참았습니다 다만 럭드가 두 시부터인 것도 모르고 럭드광인은…",2022-08-10 20:38:55
18,1557466545571467267,"RT @koboli03: 원신축제에서 판매되었던 투명공방님 하바리움
일러스트 지원드렸던 벤티그림이에요~! &gt;_&lt;

#venti https://t.co/6bzMf7p8iz",2022-08-10 20:38:55
19,1557466499517800448,"RT @XIYUN_SAYUN: 첫 팬아트이고 이렇게 인원 많이는 처음 그려서 조금 부족할수도 있습니다!언제나 재밌는 영상 감사드립니다!! 헤헤헤
#플동부 https://t.co/CjzSVSSr88",2022-08-10 20:38:44
20,1557466478915588096,"RT @sobok_95: 또 보시면
ㅅ ㅏㅁ ㅅㅓㅇ 인별
좋아요♡  댓글 주심 정말 정말 감사드립니다 ~~~~~~~~~❤️
PJM1 IS COMING
PROUD OF YOU JIMIN
Loving #WithYou by #JIMIN #BTSJIMIN…",2022-08-10 20:38:39
21,1557466445553864704,"RT @forever_TH_moa: #휴닝이생일 #이벵 #rt 
팔로우도 해주면 🫶
휴닝이의 반짝반짝 아름다운 생일을 위한 이벵
당발은 당연히 휴닝이 생일💖

휴닝이의 생일을 타팬에게도 알리기 위해 
모아만 참여🙅‍♀️타팬도 참여🙆‍♀️ https:…",2022-08-10 20:38:31
